block;stress;inok;root;shoot;ramet
4;pathogen;FM_EC;0,205383237;0,4316;0,9652
4;pathogen;ALL;0,287386139;0,445;1,4058
4;herbivory;NM;0,078868333;0,1906;0,2402
4;herbivory;RI;0,153022857;0,1572;1,1927
4;herbivory;FM;0,074442857;0,2226;0,308
4;herbivory;EC;0,122215385;0,188;0,6456
4;herbivory;RI_FM;0,135391753;0,2601;0,6745
4;herbivory;RI_EC;0,131303922;0,2259;0,9602
4;herbivory;FM_EC;0,093281481;0,1533;0,4539
4;herbivory;ALL;0,180362069;0,267;0,9882
4;control;NM;0,133140171;0,3454;0,3586
4;control;RI;0,299315385;0,4493;1,4313
4;control;FM;0,196640994;0,421;0,7274
4;control;EC;0,235821429;0,5115;1,3927
4;control;RI_FM;0,247526036;0,5059;1,5196
4;control;RI_EC;0,327476852;0,7625;1,4642
4;control;FM_EC;0,170683333;0,3342;0,9674
4;control;ALL;0,302388;0,4162;1,403
5;drought;NM;0,164183133;0,248;0,2103
5;drought;RI;0,14069403;0,2821;0,403
5;drought;FM;0,122265;0,145;0,117
5;drought;EC;0,100232759;0,2259;0,0761
5;drought;RI_FM;0,139794286;0,3806;0,2785
5;drought;RI_EC;0,14442;0,3978;0,4142
5;drought;FM_EC;0,077436735;0,1148;0,187
5;drought;ALL;0,138981818;0,411;0,6384
5;pathogen;NM;0,155172857;0,3202;0,3821
5;pathogen;RI;0,337292308;0,3577;1,2877
5;pathogen;FM;0,175217778;0,25;0,7798
5;pathogen;EC;0,280335484;0,4256;1,229
5;pathogen;RI_FM;0,246008392;0,3829;1,0212
5;pathogen;RI_EC;0,276435714;0,6368;1,5268
5;pathogen;FM_EC;0,212773333;0,3731;0,9602
5;pathogen;ALL;0,263689157;0,4087;1,5565
5;herbivory;NM;0,089462195;0,2683;0,2496
5;herbivory;RI;0,260066489;0,2792;1,0854
5;herbivory;FM;0,079985455;0,2492;0,2077
5;herbivory;EC;0,138622951;0,3754;0,7582
5;herbivory;RI_FM;0,165500794;0,3104;1,3829
5;herbivory;RI_EC;0,114010345;0,2427;1,0306
5;herbivory;FM_EC;0,170876923;0,2394;0,9289
5;herbivory;ALL;0,120615217;0,3237;0,7538
5;control;NM;0,135501695;0,3207;0,2942
5;control;RI;0,333830469;0,3672;1,3906
5;control;FM;0,197589634;0,5359;0,5016
5;control;EC;0,303367742;0,7872;0,7072
5;control;RI_FM;0,156757252;0,4813;0,761
5;control;RI_EC;0,312330256;0,5878;1,7883
5;control;FM_EC;0,3684;0,457;1,1218
5;control;ALL;0,355423256;0,5671;1,5468
6;drought;NM;0,292343046;0,3498;0,5034
6;drought;RI;0,150350704;0,3424;0,6384
6;drought;FM;0,120017391;0,1361;0,1219
6;drought;EC;0,170648889;0,3699;0,3336
6;drought;RI_FM;0,162050505;0,3542;0,7563
6;drought;RI_EC;0,214935433;0,595;0,7985
6;drought;FM_EC;0,147422449;0,2453;0,2138
6;drought;ALL;0,173928571;0,4568;0,562
6;pathogen;NM;0,151214286;0,3314;0,7204
6;pathogen;RI;0,303517742;0,3597;1,3374
6;pathogen;FM;0,194993711;0,3696;0,748
6;pathogen;EC;0,281459624;0,4827;1,082
6;pathogen;RI_FM;0,1852416;0,5861;0,9614
6;pathogen;RI_EC;0,366194595;0,5678;1,9856
